Red and Yellow Stubfoot Toad
Rio Faisanes Stubfoot Toad
Rancho Grande Harlequin Frog
Huila Stubfoot Toad
Elegant Stubfoot Toad
Carabaya Stubfoot Toad
Malvasa Stubfoot Toad
Forest Stubfoot Toad
Cayenne Stubfoot Toad
Central Coast Stubfoot Toad
Antado Stubfoot Toad
Pirre Harlequin Frog
Puca Sapo
Morona-Santiago Stubfoot Toad
Quito Stubfoot Toad
Limosa Harlequin Frog
El Tambo Stubfoot Toad
Lynch's Glassfrog
Jambato de Lynch
Mindo Harlequin Frog
Colombian Stubfoot Toad
Mucubaji Stubfoot Toad
La Arboleda Stubfoot Toad
Gualecenita Stubfoot Toad
Niceforo's Stubfoot Toad
Nocturnal Harlequin Toad
Merida's Stubfoot Toad
Schmidt's Stubfoot Toad
San Isidro Stubfoot Toad
Peru Stubfoot Toad
Painted Stubfoot Toad
Piñango Stubfoot Toad
Flat-spined Atelopus
Arlequín Camuflado Peruano
Arlequín Reticulado
Anori Stubfoot Toad
Upper Amazon Stubfoot Toad
Scarlet Harlequin Toad
Pebas Stubfoot Toad
Condoto Stubfoot Toad
Bogota Stubfoot Toad
Tamá Stubfoot Toad
Three-coloured Harlequin Toad
Clown Frog
Walker's Stubfoot Toad
Panamanian Golden Frog
Guatemala Stream Frog
Ceiba Stream Frog
Sonson Frog
Northern Territory Frog
Alexander’s Land Frog
Victoria Land Frog
Fry’s Frog
Slender Frog
New Guinea Land Frog
Laura’s Land Frog
Mehely's Land Frog
Pygmy Land Frog
Dayman Land Frog
Rain Frog
Morobe Land Frog
Robust Frog
Holst's Frog
Amamioshima Frog
Bale Mountains Treefrog
Brongersma's Toad
Palawan Flat-headed Frog
Bornean Flat-headed Frog
Chimbo Frog
Gunther's Papua Frog
Cheesman's Papua Frog
Zweifel's Papua Frogs
Yellow-throated Papua Frogs
Spotted Papua Frogs
Highland Papua Frogs
Madang Papua Frogs
California Slender Salamander
Inyo Mountains Salamander
Hell Hollow Slender Salamander
San Gabriel Mountain slender salamander
Gabilan Mountains Slender Salamander
Gregarious Slender Salamander
San Simeon Slender Salamander
Sequoia Slender Salamander
Santa Lucia Mountains Slender Salamander
Garden Slender Salamander
Lesser Slender Salamander
Blackbelly Slender Salamander
Channel Islands Slender Salamander
Kings River Slender Salamander
Relictual Slender Salamander
Kern Plateau Salamander
Kern Canyon Slender Salamander
Tehachapi Slender Salamander
Oregon Slender Salamander
Chiala Mountain Salamander
Longdong Stream Salamander
Western Chinese Mountain Salamander
Alpine Stream Salamander
Yenyuan Stream Salamander
Marbled Wood Frog
Grey Wood Frog
Nibaldo's Wood Frog
Banded Wood Frog
Cricket Frog
Moramanga Madagascar Frog
Domergue's Madagascar Frog
Ambrana Madagascar Frog
Witte's Madagascar Frog
Rana De Flancos Blancos
White-black Treefrog
Cagua Treefrog
Bischoff's Treefrog
Rusty Treefrog
Striped Treefrog
Blue-flanked Treefrog
Charuplaya Treefrog
Demerara Falls Treefrog
Pajamas Treefrog
Emerald-eyed Treefrog
Kurupitree Frog
Campo Grande Treefrog
Amapa Treefrog
Blacksmith Tree Frog
Gunther's Banded Treefrog
Fuente's Powakka Treefrog
Map Treefrog
Gunther's Brazilian Treefrog
Hispaniolan Green Treefrog
Hobbs' Treefrog
Hutchins' Treefrog
Jimenez´s Treefrog
Basin Treefrog
Lema Treefrog
Fine-lined Treefrog
